object_number,title,title.type,object_name,platform_raw_first,platform_norm,object_name.type,object_category,broadcast_standard,title.language,place_of_publication,title_primary,alt_titles,accessory_type
1702,Ax Battler A Legend of Golden Axe,Game Title,Sega Game Gear,Sega Game Gear,GG,Cartridge,Game,PAL,English,,Ax Battler A Legend of Golden Axe,,
2867,Golden Axe,Game Title,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,PAL,English,,Golden Axe,,
2868,Golden Axe II,Game Title,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,PAL,English,,Golden Axe II,,
4690,Golden Axe II;Golden Axe 2,Game Title;Game Title Alternative,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,PAL,English;,,Golden Axe II,Golden Axe 2,
7396,Golden Axe Beast Rider,Game Title,Microsoft Xbox 360,Microsoft Xbox 360,X360,DVD,Game,PAL,English,,Golden Axe Beast Rider,,
9617,Golden Axe: Beast Rider,Game Title,Sony PlayStation 3,Sony PlayStation 3,PS3,Blu-ray,Game,PAL,English,,Golden Axe: Beast Rider,,
17280,Golden Axe Beast Rider,Game Title,Microsoft Xbox 360,Microsoft Xbox 360,X360,DVD,Game,NTSC-U,English,,Golden Axe Beast Rider,,
27483,Golden Axe,Game Title,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game,,,,Golden Axe,,
31395,2-Hot 2 Handle ;Golden Axe;Super Off Road;Total Recall;Shadow Warriors,Game Bundle Description;Game Title Alternative;Game Title Alternative;Game Title Alternative;Game Title Alternative,Commodore Amiga 500,Commodore Amiga 500,AMIGA,Diskette,Game Bundle,,;;;;,,2-Hot 2 Handle,Golden Axe|Super Off Road|Total Recall|Shadow Warriors,
32202,"Golden Axe I & II The Complete Soundtracks Data Discs 007, Vinyl record",Media Description,,nan,,,Media,,,,"Golden Axe I & II The Complete Soundtracks Data Discs 007, Vinyl record",,soundtrack
34478,Golden Axe,Game Title,Sega Master System,Sega Master System,SMS,Cartridge,Game,NTSC,,,Golden Axe,,
34482,Golden Axe Warrior,Game Title,Sega Master System,Sega Master System,SMS,Cartridge,Game,NTSC,,,Golden Axe Warrior,,
35039,Golden Axe,Game Title,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,,,,Golden Axe,,
35751,Golden Axe The Duel,Game Title,Sega Saturn,Sega Saturn,SAT,,Game,,,,Golden Axe The Duel,,
36628,Golden Axe Warrior,Game Title,Sega Master System,Sega Master System,SMS,Cartridge,Game,,,,Golden Axe Warrior,,
36638,Golden Axe,Game Title,Sega Master System,Sega Master System,SMS,Cartridge,Game,,,,Golden Axe,,
40117,Golden Axe the Duel,Game Title,Sega Saturn,Sega Saturn,SAT,CD,Game,,,,Golden Axe the Duel,,soundtrack
41795,Golden Axe: Beast Rider,Game Title,Microsoft Xbox 360,Microsoft Xbox 360,X360,DVD,Game,,,,Golden Axe: Beast Rider,,
41809,Golden Axe,Game Title,Sega Mega Drive,Sega Mega Drive,MD,,Game,PAL,,,Golden Axe,,
41853,Golden Axe II;Golden Axe 2,Game Title;Game Title Alternative,Sega Mega Drive,Sega Mega Drive,MD,,Game,PAL,;,,Golden Axe II,Golden Axe 2,
42046,Ax Battler Legend of Golden Axe,Game Title,Sega Game Gear,Sega Game Gear,GG,Cartridge,Game,,,,Ax Battler Legend of Golden Axe,,
42464,Golden Axe The Duel;ゴールデンアックス・ザ・デュエル,Game Title;Game Title Alternative,Sega Saturn,Sega Saturn,SAT,CD,Game,NTSC-J,Japanese;,Japan,Golden Axe The Duel,ゴールデンアックス・ザ・デュエル,soundtrack
47865,Ax Battler Golden Axe Densetsu;アックス＝バトラー ゴールデンアックス伝説;Ax Battler A Legend of Golden Axe,Game Title;Game Title Alternative;Game Title Alternative,Sega Game Gear,Sega Game Gear,GG,Cartridge,Game,,Japanese;;,Japan,Ax Battler Golden Axe Densetsu,アックス＝バトラー ゴールデンアックス伝説|Ax Battler A Legend of Golden Axe,
49113,Golden Axe II;ゴールデンアックスII,Game Title;Game Title Alternative,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,NTSC-J,Japanese;,Japan,Golden Axe II,ゴールデンアックスII,
49567,Golden Axe III;ゴールデンアックスIII;Golden Axe 3,Game Title Alternative;Game Title;Game Title Alternative,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,NTSC-J,Japanese;;,Japan,Golden Axe III,ゴールデンアックスIII|Golden Axe 3,
55626,Golden Axe III;ゴールデンアックスIII;Golden Axe 3,Game Title;Game Title Alternative;Game Title Alternative,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,NTSC-J,Japanese;;,Japan,Golden Axe III,ゴールデンアックスIII|Golden Axe 3,
56624,Golden Axe;ゴールデンアックス,Game Title;Game Title Alternative,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,NTSC-J,Japanese;,Japan,Golden Axe,ゴールデンアックス,
57654,Golden Axe,Game Title,Sinclair ZX Spectrum,Sinclair ZX Spectrum,ZX,Cassette Tape,Game,,,,Golden Axe,,
58445,Golden Axe,Game Title,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,,,,Golden Axe,,
58446,Golden Axe II,Game Title,Sega Mega Drive,Sega Mega Drive,MD,Cartridge,Game,,,,Golden Axe II,,
61048,Golden Axe,Game Title,Commodore 64,Commodore 64,C64,,Game,,,,Golden Axe,,
61681,Golden Axe,Game Title,Commodore 64,Commodore 64,C64,,Game,,,,Golden Axe,,
61735,Golden Axe;ゴールデンアックス,Game Title;Game Title Alternative,NEC PC Engine CD-ROM² System,NEC PC Engine CD-ROM² System,PCE-CD,CD,Game,NTSC-J,Japanese;,Japan,Golden Axe,ゴールデンアックス,soundtrack
62046,Golden Axe,Game Title,Commodore 64,Commodore 64,C64,,Game,,,,Golden Axe,,
62400,Golden Axe II,Game Title,Sega Genesis,Sega Genesis,GEN,Cartridge,Game,,,,Golden Axe II,,
62402,Golden Axe,Game Title,Commodore 64,Commodore 64,C64,,Game,,,,Golden Axe,,
64491,Golden Axe;ゴールデンアックス,Game Title;Game Title Alternative,NEC PC Engine CD-ROM² System,NEC PC Engine CD-ROM² System,PCE-CD,CD,Game,NTSC-J,Japanese;,Japan,Golden Axe,ゴールデンアックス,soundtrack
66057,"Sega Flash Vol.1, Demo disc;Virtua Fighter 2;Baku Baku Animal;Golden Axe: The Duel;Panzer Dragoon Zwei;Sega Rally Championship",Promotional Description;Game Demo Title;Game Demo Title;Game Demo Title;Game Demo Title;Game Demo Title,Sega Saturn,Sega Saturn,SAT,CD,Promotional;Game Demo,PAL,English;;;;;,,"Sega Flash Vol.1, Demo disc",Virtua Fighter 2|Baku Baku Animal|Golden Axe: The Duel|Panzer Dragoon Zwei|Sega Rally Championship,soundtrack
