edition_id,title_primary,platform,igdb_id,igdb_name,genres,developers_for_platform,publishers_for_platform,release_date_for_platform,region_for_platform,platforms_all,release_dates_all,cover_url,confidence,source
CAT-00081,Lagoon,Nintendo Super Nintendo Entertainment System,276473,Lagoon,Shooter,,,2008-06-23,,PC (Microsoft Windows),"Jun 23, 2008 <PC (Microsoft Windows)>",,1/2,igdb
CAT-00085,Terranigma,Nintendo Super Nintendo Entertainment System,9633,Terranigma,Role-playing (RPG); Adventure,Quintet,Enix Corporation; Nintendo; St. GIGA,1995-10-11,,Satellaview; Super Nintendo Entertainment System; Super Famicom,"Oct 11, 1995 <Satellaview> | Oct 20, 1995 <Super Famicom> | Dec 19, 1996 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co26g4.jpg,1/2,igdb
CAT-00086,Equinox,Nintendo Super Nintendo Entertainment System,203305,Equinox,,,,2022-06-12,,PC (Microsoft Windows),"Jun 12, 2022 <PC (Microsoft Windows)>",https://images.igdb.com/igdb/image/upload/t_cover_big/co5h4b.jpg,1/2,igdb
CAT-00088,Actraiser,Nintendo Super Nintendo Entertainment System,23597,Actraiser,Platform,,Macrospace,2004-09-01,,Legacy Mobile Device,"Sep 01, 2004 <Legacy Mobile Device>",https://images.igdb.com/igdb/image/upload/t_cover_big/co8i5i.jpg,1/2,igdb
CAT-00091,Secret of Mana,Nintendo Super Nintendo Entertainment System,55092,Secret of Mana,Role-playing (RPG); Adventure,Q Studios; Square Enix Business Division 8,Square Enix,2018-02-15,,PlayStation 4; PC (Microsoft Windows); PlayStation Vita,"Feb 15, 2018 <PC (Microsoft Windows)> | Feb 15, 2018 <PlayStation 4> | Feb 15, 2018 <PlayStation Vita>",https://images.igdb.com/igdb/image/upload/t_cover_big/co9a7h.jpg,1/2,igdb
CAT-00094,Soul Blazer,Nintendo Super Nintendo Entertainment System,11616,Soul Blazer,Role-playing (RPG); Adventure,Quintet,Enix Corporation; St. GIGA,1992-01-31,Korea,Satellaview; Super Nintendo Entertainment System; Super Famicom,"Jan 31, 1992 <Super Famicom> | Nov 27, 1992 [Korea] <Super Nintendo Entertainment System> | Jan 27, 1994 <Super Nintendo Entertainment System> | Jan 27, 1994 [Europe] <Super Nintendo Entertainment System> | Jan 27, 1994 [Japan] <Super Nintendo Entertainment System> | TBD <Satellaview>",https://images.igdb.com/igdb/image/upload/t_cover_big/co8kzd.jpg,1/2,igdb
CAT-01798,Super Star Wars Return of the Jedi,Nintendo Super Nintendo Entertainment System,295051,Super Star Wars: Return of the Jedi,Adventure,Sculptured Software,Black Pearl Software,1995-12-31,,Sega Game Gear,1995 <Sega Game Gear>,https://images.igdb.com/igdb/image/upload/t_cover_big/co8jer.jpg,1/0,igdb
CAT-01800,The Blues Brothers,Nintendo Super Nintendo Entertainment System,7792,The Blues Brothers,Platform,Titus France,Titus France; Titus Software,1991-12-31,,Commodore C64/128/MAX; Atari ST/STE; DOS; Amiga; Amstrad CPC,1991 <Amiga> | 1991 <Amstrad CPC> | 1991 <Atari ST/STE> | 1991 <Commodore C64/128/MAX> | 1991 <DOS>,https://images.igdb.com/igdb/image/upload/t_cover_big/co5ago.jpg,1/2,igdb
CAT-01802,Total Carnage,Nintendo Super Nintendo Entertainment System,12868,Total Carnage,Shooter; Arcade,Midway Games,Midway Games,1991-12-31,,Arcade; Amiga CD32; Super Nintendo Entertainment System; DOS; Amiga; Atari Jaguar,1991 <Arcade> | 1994 <Amiga CD32> | 1994 <Amiga> | 1994 <Atari Jaguar> | 1994 <DOS> | 1994 <Super Nintendo Entertainment System>,https://images.igdb.com/igdb/image/upload/t_cover_big/co7qrb.jpg,1/2,igdb
CAT-01803,Lucky Luke,Nintendo Super Nintendo Entertainment System,134833,Lucky Luke,Platform,Infogrames,Nintendo,1996-12-31,,Game Boy,1996 <Game Boy>,https://images.igdb.com/igdb/image/upload/t_cover_big/co5pkv.jpg,1/2,igdb
CAT-01804,Jurassic Park,Nintendo Super Nintendo Entertainment System,134299,Jurassic Park,Platform; Arcade,"Sega Enterprises, Ltd.","Sega Enterprises, Ltd.",1993-12-31,,Sega Game Gear; Sega Master System/Mark III,1993 <Sega Game Gear> | 1993 <Sega Master System/Mark III>,https://images.igdb.com/igdb/image/upload/t_cover_big/co2zdy.jpg,1/2,igdb
CAT-01806,Wolverine Adamantium Rage,Nintendo Super Nintendo Entertainment System,46250,Wolverine: Adamantium Rage,Fighting; Platform; Hack and slash/Beat 'em up,Bits Studios,LJN,1994-11-01,,Super Nintendo Entertainment System,"1994 <Super Nintendo Entertainment System> | Nov 1994 <Super Nintendo Entertainment System> | Jan 27, 1995 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co4p1h.jpg,1/0,igdb
CAT-01813,NBA All-Star Challenge,Nintendo Super Nintendo Entertainment System,49011,NBA All-Star Challenge,Sport,Beam Software,LJN,1991-03-01,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; Game Boy,"Mar 01, 1991 <Game Boy> | 1992 <Sega Mega Drive/Genesis> | 1992 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2do5.jpg,1/2,igdb
CAT-01816,Art of Fighting,Nintendo Super Nintendo Entertainment System,4514,Art of Fighting,Fighting; Arcade,SNK,"D4 Enterprise, Inc; HAMSTER; Hudson Soft; K Amusement Leasing; SNK; SNK Home Entertainment, Inc.; SNK Playmore USA; SNK of America; Sega; Takara; Takara U.S.A.",1992-09-24,,Neo Geo AES; Arcade; PlayStation 3; Neo Geo MVS; PlayStation 4; Super Nintendo Entertainment System; Wii; Sega Mega Drive/Genesis; PC (Microsoft Windows); PlayStation Vita; PlayStation Portable; Neo Geo CD; Turbografx-16/PC Engine CD; Xbox One; Nintendo Switch; Super Famicom,"Dec 11, 1992 <Neo Geo AES> | Dec 11, 1992 <Neo Geo MVS> | Sep 24, 1992 <Arcade> | Sep 24, 1992 <Neo Geo AES> | Sep 24, 1992 <Neo Geo MVS> | 1993 <Super Nintendo Entertainment System> | Dec 01, 1993 <Super Nintendo Entertainment System> | Oct 29, 1993 <Super Famicom> | Jan 14, 1994 <Sega Mega Drive/Genesis> | Mar 26, 1994 <Turbografx-16/PC Engine CD> | Sep 09, 1994 <Neo Geo CD> | Nov 02, 2007 <Wii> | Oct 08, 2007 <Wii> | Oct 09, 2007 <Wii> | Dec 21, 2010 <PlayStation 3> | Dec 21, 2010 <PlayStation Portable> | Dec 21, 2010 <PlayStation Vita> | Apr 20, 2017 <PlayStation 4> | Dec 14, 2017 <PC (Microsoft Windows)> | Mar 23, 2017 <Xbox One> | Sep 21, 2017 <Nintendo Switch>",https://images.igdb.com/igdb/image/upload/t_cover_big/co22y4.jpg,1/2,igdb
CAT-01821,Cutthroat Island,Nintendo Super Nintendo Entertainment System,262151,Cutthroat Island,Platform; Adventure,Software Creations,Acclaim Entertainment,1995-12-31,,Sega Game Gear,1995 <Sega Game Gear>,https://images.igdb.com/igdb/image/upload/t_cover_big/co6ykl.jpg,1/2,igdb
CAT-01822,Vortex,Nintendo Super Nintendo Entertainment System,286183,Vortex,Shooter; Arcade,,Datamost,1982-12-31,,Apple II,1982 <Apple II>,https://images.igdb.com/igdb/image/upload/t_cover_big/co7quo.jpg,1/2,igdb
CAT-01825,Killer Instinct,Nintendo Super Nintendo Entertainment System,10354,Killer Instinct,Fighting,Double Helix Games; Iron Galaxy Studios,Microsoft Studios,2013-11-22,,PC (Microsoft Windows); Xbox One,"Nov 22, 2013 <Xbox One> | Sep 04, 2014 <Xbox One> | Mar 29, 2016 <PC (Microsoft Windows)> | Mar 29, 2016 <Xbox One>",https://images.igdb.com/igdb/image/upload/t_cover_big/co1nn0.jpg,1/2,igdb
CAT-01828,Wario's Woods,Nintendo Super Nintendo Entertainment System,1711,Wario's Woods,Puzzle; Strategy,Nintendo,Nintendo,1994-02-19,,Nintendo 3DS; Wii; Family Computer; Wii U; Nintendo Entertainment System,"Dec 10, 1994 <Nintendo Entertainment System> | Feb 19, 1994 <Family Computer> | 1995 <Nintendo Entertainment System> | Dec 07, 2006 <Wii> | Dec 08, 2006 <Wii> | Dec 12, 2006 <Wii> | Nov 19, 2006 <Wii> | May 29, 2013 <Nintendo 3DS> | Nov 07, 2013 <Nintendo 3DS> | Nov 07, 2013 <Wii U> | Oct 24, 2013 <Nintendo 3DS> | Feb 27, 2014 <Wii U> | Jan 29, 2014 <Wii U> | Jul 20, 2016 <Nintendo 3DS>",https://images.igdb.com/igdb/image/upload/t_cover_big/co1wqb.jpg,1/2,igdb
CAT-01829,Kevin Keegan's Player Manager,Nintendo Super Nintendo Entertainment System,42618,Kevin Keegan's Player Manager,Simulator; Sport,,,1993-02-01,,Super Nintendo Entertainment System,"Feb 01, 1993 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/igxyivrq9txajlpeauvy.jpg,1/2,igdb
CAT-01830,SimCity,Nintendo Super Nintendo Entertainment System,1274,SimCity,Simulator; Strategy,Maxis,Electronic Arts,2013-03-05,,PC (Microsoft Windows); Mac,"Aug 2013 <Mac> | Mar 05, 2013 <PC (Microsoft Windows)>",https://images.igdb.com/igdb/image/upload/t_cover_big/co1y6x.jpg,1/2,igdb
CAT-01831,Pac-Man 2 The New Adventures,Nintendo Super Nintendo Entertainment System,11603,Pac-Man 2: The New Adventures,Puzzle; Adventure,Namco,Namco,1994-04-06,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; Wii U; Super Famicom,"1994 <Super Nintendo Entertainment System> | Apr 06, 1994 <Sega Mega Drive/Genesis> | Apr 06, 1994 <Super Nintendo Entertainment System> | Aug 26, 1994 <Super Famicom> | Oct 08, 2015 <Wii U> | Mar 03, 2016 <Wii U>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2sss.jpg,1/0,igdb
CAT-01834,Populous,Nintendo Super Nintendo Entertainment System,353713,Populous,Real Time Strategy (RTS); Simulator; Strategy,Bullfrog Productions,Electronic Arts; Tec Toy,1991-10-01,,Sega Master System/Mark III,"1991 <Sega Master System/Mark III> | Oct 01, 1991 <Sega Master System/Mark III> | Aug 1993 <Sega Master System/Mark III>",https://images.igdb.com/igdb/image/upload/t_cover_big/coa3i2.jpg,1/2,igdb
CAT-01835,Plok,Nintendo Super Nintendo Entertainment System,28389,Plok,Platform,Software Creations,Activision; Nintendo of Europe; Tradewest Inc,1993-09-01,Korea,Super Nintendo Entertainment System; Super Famicom,"1993 <Super Nintendo Entertainment System> | Dec 10, 1993 <Super Famicom> | Sep 1993 [Korea] <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2eta.jpg,1/2,igdb
CAT-01842,The Incredible Hulk,Nintendo Super Nintendo Entertainment System,4928,The Incredible Hulk,Adventure,Edge of Reality,Sega,2008-06-05,,PlayStation 3; Wii; PC (Microsoft Windows); Xbox 360; Nintendo DS; PlayStation 2,"Jul 03, 2008 <PC (Microsoft Windows)> | Jul 03, 2008 <Wii> | Jul 04, 2008 <Wii> | Jul 17, 2008 <PlayStation 2> | Jul 18, 2008 <PlayStation 2> | Jun 05, 2008 <Nintendo DS> | Jun 05, 2008 <PlayStation 2> | Jun 05, 2008 <PlayStation 3> | Jun 05, 2008 <Wii> | Jun 05, 2008 <Xbox 360> | Jun 10, 2008 <PC (Microsoft Windows)> | Jun 12, 2008 <Nintendo DS> | Jun 12, 2008 <Xbox 360> | Jun 13, 2008 <Nintendo DS> | Jun 13, 2008 <Xbox 360> | Jun 20, 2008 <PlayStation 3> | Jun 20, 2008 <Xbox 360> | Jun 26, 2008 <PlayStation 3> | Jun 27, 2008 <PC (Microsoft Windows)>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2d20.jpg,1/2,igdb
CAT-01844,Super Mario World,Nintendo Super Nintendo Entertainment System,178104,Super Mario World,Platform; Arcade,Nelsonic Industries,Nelsonic Industries,1991-12-31,,Handheld Electronic LCD,1991 <Handheld Electronic LCD>,https://images.igdb.com/igdb/image/upload/t_cover_big/co4az5.jpg,1/2,igdb
CAT-01848,Stargate,Nintendo Super Nintendo Entertainment System,281046,Stargate,Shooter,Vid Kidz,Atari,1983-12-31,,DOS,1983 <DOS>,,1/2,igdb
CAT-01849,Pushover,Nintendo Super Nintendo Entertainment System,11627,Pushover,Platform; Puzzle; Strategy; Adventure,Red Rat Software,Ocean Software; Piko Interactive,1992-12-31,,Super Nintendo Entertainment System; Atari ST/STE; PC (Microsoft Windows); DOS; Amiga,"1992 <Amiga> | 1992 <Atari ST/STE> | 1992 <DOS> | 1992 <Super Nintendo Entertainment System> | Apr 13, 2018 <PC (Microsoft Windows)>",https://images.igdb.com/igdb/image/upload/t_cover_big/co5z4a.jpg,1/2,igdb
CAT-01858,Kick Off 3 European Challenge,Nintendo Super Nintendo Entertainment System,45708,Kick Off 3: European Challenge,Sport,Anco Software Ltd.,Anco Software Ltd.; Vic Tokai Europe,1994-12-26,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; DOS; Amiga,"1994 <Amiga> | 1994 <DOS> | 1994 <Super Nintendo Entertainment System> | Dec 26, 1994 <Sega Mega Drive/Genesis>",https://images.igdb.com/igdb/image/upload/t_cover_big/co5z1v.jpg,1/0,igdb
CAT-01859,Micro Machines 2 Turbo Tournament,Nintendo Super Nintendo Entertainment System,8775,Micro Machines 2: Turbo Tournament,Racing,Codemasters; Supersonic Software,Codemasters,1994-11-01,,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; DOS,"Nov 1994 <Sega Mega Drive/Genesis> | 1995 <Super Nintendo Entertainment System> | May 31, 1996 <DOS>",https://images.igdb.com/igdb/image/upload/t_cover_big/co4moc.jpg,1/0,igdb
CAT-01864,Super International Cricket,Nintendo Super Nintendo Entertainment System,42456,Super International Cricket,Simulator; Sport; Strategy,,,1994-02-01,,Super Nintendo Entertainment System,"Feb 01, 1994 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co5zel.jpg,1/2,igdb
CAT-01866,Warlock,Nintendo Super Nintendo Entertainment System,13044,Warlock,Adventure,,The Edge,1987-12-31,,ZX Spectrum; Atari ST/STE; Amstrad CPC,"1987 <ZX Spectrum> | Dec 31, 1987 <Amstrad CPC> | 1988 <Atari ST/STE>",https://images.igdb.com/igdb/image/upload/t_cover_big/unnkfehhk8htyewezzva.jpg,1/2,igdb
CAT-01868,Michael Jordan Chaos in the Windy City,Nintendo Super Nintendo Entertainment System,42490,Michael Jordan: Chaos in the Windy City,Platform; Sport,Electronic Arts,Electronic Arts; Ocean; Playtronic,1994-11-21,,Super Nintendo Entertainment System,"Nov 21, 1994 <Super Nintendo Entertainment System> | Mar 11, 1995 <Super Nintendo Entertainment System> | Mar 1996 <Super Nintendo Entertainment System>",https://images.igdb.com/igdb/image/upload/t_cover_big/co8zyu.jpg,1/0,igdb
CAT-01869,Last Action Hero,Nintendo Super Nintendo Entertainment System,16139,Last Action Hero,Hack and slash/Beat 'em up,Bits Studios; The Dome,Psygnosis; Sony Imagesoft; Tec Toy,1993-10-01,Korea,Super Nintendo Entertainment System; Sega Mega Drive/Genesis; DOS; Amiga,"1993 <Sega Mega Drive/Genesis> | 1993 [Korea] <Sega Mega Drive/Genesis> | Dec 10, 1993 <Super Nintendo Entertainment System> | Oct 1993 [Korea] <Super Nintendo Entertainment System> | 1994 [Korea] <Amiga> | 1994 [Korea] <DOS>",https://images.igdb.com/igdb/image/upload/t_cover_big/co4odq.jpg,1/2,igdb
CAT-01871,Paperboy 2,Nintendo Super Nintendo Entertainment System,307086,Paperboy 2,Arcade,Tengen,Mindscape,1992-04-01,,Game Boy,"Apr 01, 1992 <Game Boy> | Jun 01, 1992 <Game Boy>",https://images.igdb.com/igdb/image/upload/t_cover_big/co9i07.jpg,1/2,igdb
CAT-01873,Aero the Acro-Bat,Nintendo Super Nintendo Entertainment System,5348,Aero the Acro-Bat,Platform,Iguana Entertainment,Playtronic; SUNSOFT,1993-08-01,,Super Nintendo Entertainment System; Wii; Sega Mega Drive/Genesis,"1993 <Sega Mega Drive/Genesis> | Aug 01, 1993 <Sega Mega Drive/Genesis> | Dec 01, 1993 <Super Nintendo Entertainment System> | Dec 1993 <Super Nintendo Entertainment System> | Oct 12, 1993 <Super Nintendo Entertainment System> | Jul 23, 2010 <Wii> | Jul 26, 2010 <Wii>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2h94.jpg,1/2,igdb
CAT-01874,Doom,Nintendo Super Nintendo Entertainment System,7351,Doom,Shooter; Puzzle,id Software,Bethesda Softworks,2016-05-12,,PlayStation 4; PC (Microsoft Windows); Xbox One,"May 12, 2016 <PC (Microsoft Windows)> | May 13, 2016 <PlayStation 4> | May 13, 2016 <Xbox One>",https://images.igdb.com/igdb/image/upload/t_cover_big/co1nc7.jpg,1/2,igdb
CAT-01875,Magic Boy,Nintendo Super Nintendo Entertainment System,12675,Magic Boy,Platform,,Empire Software,1993-12-31,,Super Nintendo Entertainment System; DOS; Amiga,1993 <Amiga> | TBD <DOS> | TBD <Super Nintendo Entertainment System>,https://images.igdb.com/igdb/image/upload/t_cover_big/co5z26.jpg,1/2,igdb
CAT-01876,Kid Klown in Crazy Chase,Nintendo Super Nintendo Entertainment System,6349,Kid Klown in Crazy Chase,Platform; Racing,Kemco,Kemco,1994-09-01,,Satellaview; Super Nintendo Entertainment System; Game Boy Advance; Super Famicom,"Oct 21, 1994 <Super Famicom> | Sep 1994 <Super Nintendo Entertainment System> | 1995 <Super Nintendo Entertainment System> | 1997 <Satellaview> | Oct 21, 2002 <Game Boy Advance> | Oct 23, 2002 <Game Boy Advance>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2vc8.jpg,1/2,igdb
CAT-08979,The Hunt For Red October;レッド オクトーバー;レッド・オクトーバー,Nintendo Super Famicom,,,,,,,,,,,0/0,igdb
CAT-08985,Angelique;アンジェリーク,Nintendo Super Famicom,45436,Angelique Special,Simulator; Visual Novel,Koei,NCS Corporation,1995-12-22,,PC (Microsoft Windows); PC-FX; TurboGrafx-16/PC Engine; Sega Saturn; PlayStation,"Dec 22, 1995 <PC-FX> | Mar 29, 1996 <PC (Microsoft Windows)> | Mar 29, 1996 <PlayStation> | Mar 29, 1996 <Sega Saturn>",https://images.igdb.com/igdb/image/upload/t_cover_big/co6xcn.jpg,1/0,igdb
CAT-08988,Super Pinball Behind The Mask;スーパー・ピンボール ビハインド・ザ・マスク,Nintendo Super Famicom,,,,,,,,,,,0/0,igdb
CAT-09009,Natsuki Crisis Battle;なつきクライシスバトル,Nintendo Super Famicom,,,,,,,,,,,0/0,igdb
CAT-09015,Ultraman;ウルトラマン,Nintendo Super Famicom,131387,Ultraman,Fighting,,Bandai,2004-05-20,,PlayStation 2,"May 20, 2004 <PlayStation 2>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2fj0.jpg,1/1,igdb
CAT-09016,Mystic Ark;ミスティック・アーク,Nintendo Super Famicom,,,,,,,,,,,0/0,igdb
CAT-09101,Super Mahjong Taikai;スーパー麻雀大会,Nintendo Super Famicom,37811,Super Mahjong Taikai,Sport; Quiz/Trivia; Card & Board Game,,Koei; St. GIGA,1992-09-12,,Satellaview; Super Famicom,"Sep 12, 1992 <Super Famicom> | Aug 31, 1997 <Satellaview> | Jun 29, 1997 <Satellaview> | Feb 01, 1998 <Satellaview>",https://images.igdb.com/igdb/image/upload/t_cover_big/co4cli.jpg,1/1,igdb
CAT-09103,Suzuka 8 Hours;スズカエイトアワーズ,Nintendo Super Famicom,,,,,,,,,,,0/0,igdb
CAT-09182,Wagyan Paradise;ワギャンパラダイス,Nintendo Super Famicom,42425,Wagyan Paradise,Platform; Puzzle; Adventure,Namco,Namco,1994-12-16,,Super Famicom,"Dec 16, 1994 <Super Famicom>",https://images.igdb.com/igdb/image/upload/t_cover_big/co3sow.jpg,1/1,igdb
CAT-09183,Super Dunk Star;スーパーダンクスター,Nintendo Super Famicom,,,,,,,,,,,0/0,igdb
CAT-09194,Front Mission;フロントミッション,Nintendo Super Famicom,1498,Front Mission,Strategy; Tactical,G-Craft; Square Product Development Division 5,Square,1995-02-24,,WonderSwan Color; Super Famicom,"Feb 24, 1995 <Super Famicom> | Jul 12, 2002 <WonderSwan Color>",https://images.igdb.com/igdb/image/upload/t_cover_big/co2v50.jpg,1/1,igdb
CAT-09202,Tetris Battle Gaiden;テトリスバトル 武闘外伝,Nintendo Super Famicom,,,,,,,,,,,0/0,igdb
