edition_id,qid,label,description,platform_labels,title_score,platform_match,p31_ok,score_tuple
ED-74C0623979,Q2081774,2020 Super Baseball,1993 video game,Sega Genesis; Super Nintendo Entertainment System; Neo Geo; Neo Geo CD; 닌텐도 스위치,0,1,1,"(1, 0, 1)"
ED-27C6B84BBB,Q2081774,2020 Super Baseball,1993 video game,Sega Genesis; Super Nintendo Entertainment System; Neo Geo; Neo Geo CD; 닌텐도 스위치,2,1,1,"(1, 2, 1)"
ED-A82EFFE960,Q56284113,ABC Monday Night Football,1996 video game for Windows,Microsoft Windows,2,0,1,"(0, 2, 1)"
ED-A82EFFE960,Q3600489,ABC Monday Night Football,1989 video game,DOS; Super Nintendo Entertainment System; Commodore 64; Commodore Amiga,2,1,1,"(1, 2, 1)"
ED-BE7B116A15,Q2017312,Aaahh!!! Real Monsters,1995 video game,Sega Genesis; Super Nintendo Entertainment System,2,1,1,"(1, 2, 1)"
ED-BE7B116A15,Q300666,Aaahh!!! Real Monsters,American animated television series,,2,0,0,"(0, 2, 0)"
ED-BE7B116A15,Q125765927,"Aaahh!!! Real Monsters, season 2",season of television series,,1,0,0,"(0, 1, 0)"
ED-BE7B116A15,Q125765931,"Aaahh!!! Real Monsters, season 3",season of television series,,1,0,0,"(0, 1, 0)"
ED-BE7B116A15,Q125765924,"Aaahh!!! Real Monsters, season 1",season of television series,,1,0,0,"(0, 1, 0)"
ED-BE7B116A15,Q125765936,"Aaahh!!! Real Monsters, season 4",season of television series,,1,0,0,"(0, 1, 0)"
ED-D421DE509C,Q2017312,Aaahh!!! Real Monsters,1995 video game,Sega Genesis; Super Nintendo Entertainment System,2,1,1,"(1, 2, 1)"
ED-D421DE509C,Q300666,Aaahh!!! Real Monsters,American animated television series,,2,0,0,"(0, 2, 0)"
ED-D421DE509C,Q125765927,"Aaahh!!! Real Monsters, season 2",season of television series,,1,0,0,"(0, 1, 0)"
ED-D421DE509C,Q125765931,"Aaahh!!! Real Monsters, season 3",season of television series,,1,0,0,"(0, 1, 0)"
ED-D421DE509C,Q125765924,"Aaahh!!! Real Monsters, season 1",season of television series,,1,0,0,"(0, 1, 0)"
ED-D421DE509C,Q125765936,"Aaahh!!! Real Monsters, season 4",season of television series,,1,0,0,"(0, 1, 0)"
ED-227B81D68D,Q2496494,Accele Brid,1993 video game,Super Nintendo Entertainment System,2,1,1,"(1, 2, 1)"
ED-614023D46A,Q340121,Aim for the Ace!,Japanese manga series,,0,0,0,"(0, 0, 0)"
ED-614023D46A,Q4669736,Ace o Nerae!,1993 video game,Super Nintendo Entertainment System,2,1,1,"(1, 2, 1)"
ED-614023D46A,Q115659521,Aim for the Ace!,1979 anime film directed by Osamu Dezaki,,0,0,0,"(0, 0, 0)"
ED-614023D46A,Q135215848,Aim for the Ace!,Japanese television drama,,0,0,0,"(0, 0, 0)"
ED-614023D46A,Q135215781,Aim for the Ace!,Japanese anime television series,,0,0,0,"(0, 0, 0)"
ED-614023D46A,Q135215868,Aim for the Ace!,1993 video game,Super Nintendo Entertainment System,0,1,1,"(1, 0, 1)"
ED-614023D46A,Q135215829,Ace o Nerae! Final Stage,Japanese original video animation series,,1,0,0,"(0, 1, 0)"
ED-614023D46A,Q135215822,Ace o Nerae! 2,Japanese original video animation series,,1,0,0,"(0, 1, 0)"
ED-9259F4F83E,Q4675293,Acrobat Mission,1991 video game,arcade video game machine; Super Nintendo Entertainment System,2,1,1,"(1, 2, 1)"
ED-F8E6B83A92,Q343033,ActRaiser,1990 SNES video game,Super Nintendo Entertainment System; mobile phone; Wii; Nintendo Super System,2,1,1,"(1, 2, 1)"
ED-F8E6B83A92,Q108370499,ActRaiser,video game series,,2,0,0,"(0, 2, 0)"
ED-F8E6B83A92,Q20899105,Actraiser,1991 video game soundtrack from Japan,,2,0,0,"(0, 2, 0)"
ED-F8E6B83A92,Q2169654,ActRaiser 2,1993 Super NES video game,Super Nintendo Entertainment System,1,1,1,"(1, 1, 1)"
ED-F8E6B83A92,Q108800081,Actraiser Renaissance,2021 video game,Microsoft Windows; 닌텐도 스위치; PlayStation 4; أندرويد; iOS,1,0,1,"(0, 1, 1)"
ED-F8E6B83A92,Q108709563,Actraiser universe,fictional universe where video game series Actraiser takes place,,1,0,0,"(0, 1, 0)"
ED-9C798A0DBC,Q2169654,ActRaiser 2,1993 Super NES video game,Super Nintendo Entertainment System,2,1,1,"(1, 2, 1)"
ED-DC875DFDEC,Q2169654,ActRaiser 2,1993 Super NES video game,Super Nintendo Entertainment System,2,1,1,"(1, 2, 1)"
ED-509D6FB7E0,Q4677134,Action Pachio,1993 video game,Super Nintendo Entertainment System,2,1,1,"(1, 2, 1)"
ED-FD986741DC,Q343033,ActRaiser,1990 SNES video game,Super Nintendo Entertainment System; mobile phone; Wii; Nintendo Super System,2,1,1,"(1, 2, 1)"
ED-FD986741DC,Q108370499,ActRaiser,video game series,,2,0,0,"(0, 2, 0)"
ED-FD986741DC,Q20899105,Actraiser,1991 video game soundtrack from Japan,,2,0,0,"(0, 2, 0)"
ED-FD986741DC,Q2169654,ActRaiser 2,1993 Super NES video game,Super Nintendo Entertainment System,1,1,1,"(1, 1, 1)"
ED-FD986741DC,Q108800081,Actraiser Renaissance,2021 video game,Microsoft Windows; 닌텐도 스위치; PlayStation 4; أندرويد; iOS,1,0,1,"(0, 1, 1)"
ED-FD986741DC,Q108709563,Actraiser universe,fictional universe where video game series Actraiser takes place,,1,0,0,"(0, 1, 0)"
ED-FDCB5C2C2E,Q343033,ActRaiser,1990 SNES video game,Super Nintendo Entertainment System; mobile phone; Wii; Nintendo Super System,2,1,1,"(1, 2, 1)"
ED-FDCB5C2C2E,Q108370499,ActRaiser,video game series,,2,0,0,"(0, 2, 0)"
ED-FDCB5C2C2E,Q20899105,Actraiser,1991 video game soundtrack from Japan,,2,0,0,"(0, 2, 0)"
ED-FDCB5C2C2E,Q2169654,ActRaiser 2,1993 Super NES video game,Super Nintendo Entertainment System,1,1,1,"(1, 1, 1)"
ED-FDCB5C2C2E,Q108800081,Actraiser Renaissance,2021 video game,Microsoft Windows; 닌텐도 스위치; PlayStation 4; أندرويد; iOS,1,0,1,"(0, 1, 1)"
ED-FDCB5C2C2E,Q108709563,Actraiser universe,fictional universe where video game series Actraiser takes place,,1,0,0,"(0, 1, 0)"
ED-36A0C92680,Q2741882,Addams Family Values,1995 video game,Super Nintendo Entertainment System; Sega Genesis,2,1,1,"(1, 2, 1)"
ED-36A0C92680,Q204725,Addams Family Values,1993 film directed by Barry Sonnenfeld,,2,0,0,"(0, 2, 0)"
ED-36A0C92680,Q135456029,Addams Family Values,novel by Todd Strasser,,2,0,0,"(0, 2, 0)"
ED-36A0C92680,Q2681538,Addams Family Values – Music from the Motion Picture,1993 compilation soundtrack album; various artists,,1,0,0,"(0, 1, 0)"
ED-36A0C92680,Q4681016,Addams Family Values: The Original Orchestral Score,album by Artie Kane,,1,0,0,"(0, 1, 0)"
ED-36A0C92680,Q2090329,Addams Family Values,Wikimedia disambiguation page,,2,0,0,"(0, 2, 0)"
ED-407F7C78B2,Q2741882,Addams Family Values,1995 video game,Super Nintendo Entertainment System; Sega Genesis,2,1,1,"(1, 2, 1)"
ED-407F7C78B2,Q204725,Addams Family Values,1993 film directed by Barry Sonnenfeld,,2,0,0,"(0, 2, 0)"
ED-407F7C78B2,Q135456029,Addams Family Values,novel by Todd Strasser,,2,0,0,"(0, 2, 0)"
ED-407F7C78B2,Q2681538,Addams Family Values – Music from the Motion Picture,1993 compilation soundtrack album; various artists,,1,0,0,"(0, 1, 0)"
ED-407F7C78B2,Q4681016,Addams Family Values: The Original Orchestral Score,album by Artie Kane,,1,0,0,"(0, 1, 0)"
ED-407F7C78B2,Q2090329,Addams Family Values,Wikimedia disambiguation page,,2,0,0,"(0, 2, 0)"
