edition_id,title_primary,platform,gb_game_id,igdb_game_id,wd_qid,wd_label
CAT-42845,Super Battletank 2,Nintendo Super Nintendo Entertainment System,32829,38425,,
CAT-60684,Lamborghini American Challenge,Nintendo Super Nintendo Entertainment System,45818,27525,,
CAT-20327,Skyblazer,Nintendo Super Nintendo Entertainment System,6763,42581,,
CAT-19814,Street Fighter Alpha 2,Nintendo Super Nintendo Entertainment System,19134,243453,,
CAT-42386,Super Battletank 2,Nintendo Super Nintendo Entertainment System,32829,38425,,
CAT-37942,Mega Man 7,Nintendo Super Nintendo Entertainment System,7391,1720,,
CAT-55765,Dragon's Earth;ドラゴンズ・アース,Nintendo Super Famicom,46015,42254,,
CAT-26980,True Lies,Nintendo Super Nintendo Entertainment System,1815,282484,,
CAT-34429,Theme Park;テーマパーク,Nintendo Super Famicom,6562,23091,,
CAT-21879,Super Bomberman;スーパーボンバーマン,Nintendo Super Famicom,11992,198028,,
CAT-01858,Kick Off 3 European Challenge,Nintendo Super Nintendo Entertainment System,19591,45708,,
CAT-01816,Art of Fighting,Nintendo Super Nintendo Entertainment System,2760,4514,,
CAT-43001,Mortal Kombat 3,Nintendo Super Nintendo Entertainment System,1434,284101,,
CAT-08979,The Hunt For Red October;レッド オクトーバー;レッド・オクトーバー,Nintendo Super Famicom,2491,14901,,
CAT-35557,Tiny Toon Adventures Buster Busts Loose;タイニートゥーン アドベンチャーズ,Nintendo Super Famicom,9441,8050,,
CAT-42697,Rise of the Robots,Nintendo Super Nintendo Entertainment System,9847,4259,,
CAT-09103,Suzuka 8 Hours;スズカエイトアワーズ,Nintendo Super Famicom,12299,40451,,
CAT-70954,Jurassic Park,Nintendo Super Nintendo Entertainment System,5721,217956,,
CAT-26679,Indiana Jones' Greatest Adventures,Nintendo Super Nintendo Entertainment System,6329,10843,,
CAT-60688,Aero the Acro-Bat,Nintendo Super Nintendo Entertainment System,19337,49256,,
CAT-26986,King Arthur's World,Nintendo Super Nintendo Entertainment System,12248,42506,,
CAT-26962,Secret of Mana,Nintendo Super Nintendo Entertainment System,19507,55092,,
CAT-09401,Tetris Battle Gaiden;テトリスバトル 武闘外伝,Nintendo Super Famicom,30673,38371,,
CAT-19834,World Cup USA 94,Nintendo Super Nintendo Entertainment System,5498,217942,,
CAT-09223,Front Mission Gun Hazard;フロントミッションシリーズ ガンハザード,Nintendo Super Famicom,7265,1499,,
CAT-01844,Super Mario World,Nintendo Super Nintendo Entertainment System,1334,270346,,
CAT-42820,Doom,Nintendo Super Nintendo Entertainment System,7326,7351,,
CAT-20189,Ashita no Joe;あしたのジョー,Nintendo Super Famicom,44494,39578,,
CAT-55375,Super Puyo Puyo;す〜ぱ〜ぷよぷよ,Nintendo Super Famicom,,42406,,
CAT-42821,Claymates,Nintendo Super Nintendo Entertainment System,1607,42623,,
CAT-42389,Eek! The Cat,Nintendo Super Nintendo Entertainment System,19221,42613,,
CAT-37038,Battletoads Double Dragon,Nintendo Super Nintendo Entertainment System,19366,242267,,
CAT-09290,Syndicate;シンジケート,Nintendo Super Famicom,10865,213885,,
CAT-19557,Syndicate;シンジケート,Nintendo Super Famicom,10865,213885,,
CAT-42392,Tetris & Dr. Mario,Nintendo Super Nintendo Entertainment System,6805,14531,,
CAT-19741,The Legend of Zelda A Link to the Past,Nintendo Super Nintendo Entertainment System,10276,1026,,
CAT-41580,Ghoul Patrol;グール・パトロール,Nintendo Super Famicom,16760,42612,,
CAT-19824,Cliffhanger,Nintendo Super Nintendo Entertainment System,4616,346267,,
CAT-19757,Archer Maclean's Super Dropzone,Nintendo Super Nintendo Entertainment System,54900,42637,,
CAT-42780,Mortal Kombat II,Nintendo Super Nintendo Entertainment System,3571,223018,,
CAT-26553,Rise of the Robots,Nintendo Super Nintendo Entertainment System,9847,4259,,
CAT-10207,Jimmy Connors Pro Tennis Tour;ジミーコナーズのプロテニスツアー,Nintendo Super Famicom,5740,153771,,
CAT-01864,Super International Cricket,Nintendo Super Nintendo Entertainment System,21668,42456,,
CAT-35410,Action Pachio;アクションパチ夫,Nintendo Super Famicom,22945,38352,,
CAT-27023,Stargate,Nintendo Super Nintendo Entertainment System,8853,10162,,
CAT-01868,Michael Jordan Chaos in the Windy City,Nintendo Super Nintendo Entertainment System,6694,42490,,
CAT-41578,Ghoul Patrol,Nintendo Super Nintendo Entertainment System,16760,42612,,
CAT-20408,Street Fighter II,Nintendo Super Nintendo Entertainment System,6665,231006,,
CAT-20417,Ardy Lightfoot,Nintendo Super Nintendo Entertainment System,16604,42736,,
CAT-00086,Equinox,Nintendo Super Nintendo Entertainment System,13849,329147,,
CAT-40664,NHLPA Hockey '93,Nintendo Super Nintendo Entertainment System,5450,42479,,
CAT-37970,The Legend of Zelda A Link to the Past,Nintendo Super Nintendo Entertainment System,10276,1026,,
CAT-20413,Pocky & Rocky,Nintendo Super Nintendo Entertainment System,4089,1534,,
CAT-35442,Stargate;スターゲイト,Nintendo Super Famicom,8853,10162,,
CAT-41579,Ghoul Patrol,Nintendo Super Nintendo Entertainment System,16760,42612,,
CAT-01804,Jurassic Park,Nintendo Super Nintendo Entertainment System,5721,217956,,
CAT-20362,Indiana Jones' Greatest Adventures,Nintendo Super Nintendo Entertainment System,6329,10843,,
CAT-42711,WWF Wrestlemania The Arcade Game,Nintendo Super Nintendo Entertainment System,8027,4546,,
CAT-38739,Doraemon Nobita to Yousei no Kuni;ドラえもん のび太と妖精の国,Nintendo Super Famicom,8686,38130,,
CAT-43005,Street Fighter II,Nintendo Super Nintendo Entertainment System,6665,231006,,
CAT-09780,Lagoon;ラグーン,Nintendo Super Famicom,12945,42617,,
CAT-21704,Casper;キャスパー,Nintendo Super Famicom,14860,215181,,
CAT-01875,Magic Boy,Nintendo Super Nintendo Entertainment System,4828,12675,,
CAT-42665,Mortal Kombat 3,Nintendo Super Nintendo Entertainment System,1434,284101,,
CAT-37953,Breath of Fire,Nintendo Super Nintendo Entertainment System,15629,276017,,
CAT-01829,Kevin Keegan's Player Manager,Nintendo Super Nintendo Entertainment System,29480,42618,,
CAT-78070,Terranigma,Nintendo Super Nintendo Entertainment System,13828,9633,,
CAT-19983,Solid Runner;ソリッドランナー,Nintendo Super Famicom,14760,44437,,
CAT-20386,International Superstar Soccer,Nintendo Super Nintendo Entertainment System,6106,9861,,
CAT-01825,Killer Instinct,Nintendo Super Nintendo Entertainment System,18484,10354,,
CAT-60668,Super Tennis,Nintendo Super Nintendo Entertainment System,18664,81523,,
CAT-24337,Super Pinball Behind The Mask;スーパー・ピンボール ビハインド・ザ・マスク,Nintendo Super Famicom,17398,42455,,
CAT-61155,Super Mario World,Nintendo Super Nintendo Entertainment System,1334,270346,,
CAT-22410,Front Mission;フロントミッション,Nintendo Super Famicom,6052,1498,,
CAT-19868,Disney's The Jungle Book,Nintendo Super Nintendo Entertainment System,19067,204616,,
CAT-26626,Super Mario World 2 Yoshi's Island,Nintendo Super Nintendo Entertainment System,2866,1073,,
CAT-09194,Front Mission;フロントミッション,Nintendo Super Famicom,6052,1498,,
CAT-19903,Stargate,Nintendo Super Nintendo Entertainment System,8853,10162,,
CAT-09326,Bahamut Lagoon;バハムート ラグーン,Nintendo Super Famicom,15117,15843,,
CAT-19761,Batman Forever,Nintendo Super Nintendo Entertainment System,10020,198998,,
CAT-27026,Disney's The Jungle Book,Nintendo Super Nintendo Entertainment System,19067,204616,,
CAT-19502,Battle Racers;バトルレーサーズ,Nintendo Super Famicom,38076,38161,,
CAT-26966,Vortex,Nintendo Super Nintendo Entertainment System,9146,210342,,
CAT-26692,RoboCop 3,Nintendo Super Nintendo Entertainment System,3173,217684,,
CAT-01876,Kid Klown in Crazy Chase,Nintendo Super Nintendo Entertainment System,14982,6349,,
CAT-23883,Genjuu Ryodan;幻獣旅団,Nintendo Super Famicom,60077,38019,,
CAT-23187,True Lies;トゥルーライズ,Nintendo Super Famicom,1815,282484,,
CAT-01848,Stargate,Nintendo Super Nintendo Entertainment System,8853,10162,,
CAT-26625,Super Punch-Out!!,Nintendo Super Nintendo Entertainment System,6029,9151,,
CAT-23888,Super Punch-Out!!;スーパーパンチアウト！！,Nintendo Super Famicom,6029,9151,,
CAT-26526,Tiny Toon Adventures Buster Busts Loose!,Nintendo Super Nintendo Entertainment System,9441,8050,,
CAT-19749,SimCity,Nintendo Super Nintendo Entertainment System,15035,208990,,
CAT-60676,Shanghai II Dragon's Eye,Nintendo Super Nintendo Entertainment System,7286,4450,,
CAT-01831,Pac-Man 2 The New Adventures,Nintendo Super Nintendo Entertainment System,12294,11603,,
CAT-34617,Super Keirin;スーパー競輪,Nintendo Super Famicom,37176,37820,,
CAT-09819,Aretha;アレサ,Nintendo Super Famicom,1791,222820,,
CAT-60680,NBA Live 97,Nintendo Super Nintendo Entertainment System,1356,20134,,
CAT-23254,Aretha;アレサ,Nintendo Super Famicom,1791,222820,,
CAT-20309,NBA Live 97,Nintendo Super Nintendo Entertainment System,1356,20134,,
CAT-09232,Der Langrisser;デア ラングリッサー,Nintendo Super Famicom,8375,77634,,
CAT-42316,Disney's Beauty and the Beast,Nintendo Super Nintendo Entertainment System,30534,280811,,
CAT-23830,Touge Densetsu Saisoku Battle;峠・伝説 最速バトル,Nintendo Super Famicom,57853,38125,,
CAT-21791,Battle Submarine;バトルサブマリン,Nintendo Super Famicom,55213,38185,,
CAT-01859,Micro Machines 2 Turbo Tournament,Nintendo Super Nintendo Entertainment System,20350,228792,,
CAT-01806,Wolverine Adamantium Rage,Nintendo Super Nintendo Entertainment System,12002,207235,,
CAT-20191,Light Fantasy;ライトファンタジー,Nintendo Super Famicom,28306,37944,,
CAT-23143,Natsuki Crisis Battle;なつきクライシスバトル,Nintendo Super Famicom,28375,38210,,
CAT-34396,Jimmy Connors Pro Tennis Tour;ジミーコナーズのプロテニスツアー,Nintendo Super Famicom,5740,153771,,
CAT-60683,Parodius,Nintendo Super Nintendo Entertainment System,810,174910,,
CAT-26574,World Cup USA 94,Nintendo Super Nintendo Entertainment System,5498,217942,,
CAT-09183,Super Dunk Star;スーパーダンクスター,Nintendo Super Famicom,38745,42270,,
CAT-35524,Ardy Lightfoot;アルディライトフット,Nintendo Super Famicom,16604,42736,,
CAT-41642,Super Star Wars Return of the Jedi,Nintendo Super Nintendo Entertainment System,4692,48939,,
CAT-42312,Killer Instinct,Nintendo Super Nintendo Entertainment System,18484,10354,,
CAT-09222,Fighter's History;ファイターズヒストリー,Nintendo Super Famicom,10486,8564,,
CAT-19799,Super Star Wars Return of the Jedi,Nintendo Super Nintendo Entertainment System,4692,48939,,
CAT-69611,Super Mario World,Nintendo Super Nintendo Entertainment System,1334,270346,,
CAT-42327,True Lies,Nintendo Super Nintendo Entertainment System,1815,282484,,
CAT-26737,Fatal Fury,Nintendo Super Nintendo Entertainment System,2396,71128,,
CAT-20436,Tintin in Tibet,Nintendo Super Nintendo Entertainment System,4197,249148,,
CAT-23188,Emerald Dragon;エメラルドドラゴン,Nintendo Super Famicom,640,15834,,
CAT-21668,Stealth;ステルス,Nintendo Super Famicom,44689,147969,,
CAT-42702,International Superstar Soccer,Nintendo Super Nintendo Entertainment System,6106,9861,,
CAT-42379,Pinball Fantasies,Nintendo Super Nintendo Entertainment System,12347,242310,,
CAT-42363,Mortal Kombat II,Nintendo Super Nintendo Entertainment System,3571,223018,,
CAT-24068,Battle Cross;バトルクロス,Nintendo Super Famicom,37539,95412,,
CAT-34688,Mystic Ark;ミスティック・アーク,Nintendo Super Famicom,168,42484,,
CAT-23989,Nangoku Shounen Papuwa-kun;南国少年パプワくん,Nintendo Super Famicom,28373,38389,,
CAT-00081,Lagoon,Nintendo Super Nintendo Entertainment System,12945,42617,,
CAT-37308,Super Gomoku Narabe Renju;スーパー五目ならべ 連珠,Nintendo Super Famicom,49299,37832,,
CAT-26968,The Legend of Zelda A Link to the Past,Nintendo Super Nintendo Entertainment System,10276,1026,,
CAT-20364,Super Putty,Nintendo Super Nintendo Entertainment System,1852,39039,,
CAT-61152,Pac-Man 2 The New Adventures,Nintendo Super Nintendo Entertainment System,12294,11603,,
CAT-20412,Secret of Mana,Nintendo Super Nintendo Entertainment System,19507,55092,,
CAT-01834,Populous,Nintendo Super Nintendo Entertainment System,6210,353713,,
CAT-60645,Parodius,Nintendo Super Nintendo Entertainment System,810,174910,,
CAT-01873,Aero the Acro-Bat,Nintendo Super Nintendo Entertainment System,19337,49256,,
CAT-19786,King Arthur's World,Nintendo Super Nintendo Entertainment System,12248,42506,,
CAT-42715,Young Merlin,Nintendo Super Nintendo Entertainment System,14108,11665,,
CAT-42946,The Legend of Zelda A Link to the Past,Nintendo Super Nintendo Entertainment System,10276,1026,,
CAT-19924,Super Bomberman,Nintendo Super Nintendo Entertainment System,11992,198028,,
CAT-35497,The Blues Brothers;ブルースブラザーズ,Nintendo Super Famicom,8498,265033,,
CAT-38279,Populous;ポピュラス,Nintendo Super Famicom,6210,353713,,
CAT-42999,Super Putty,Nintendo Super Nintendo Entertainment System,1852,39039,,
CAT-19759,Addams Family Values,Nintendo Super Nintendo Entertainment System,12959,5341,,
CAT-60672,Jimmy Connors Pro Tennis Tour,Nintendo Super Nintendo Entertainment System,5740,153771,,
CAT-23153,Der Langrisser;デア ラングリッサー,Nintendo Super Famicom,8375,77634,,
CAT-26608,Super Metroid,Nintendo Super Nintendo Entertainment System,8292,1103,,
CAT-01866,Warlock,Nintendo Super Nintendo Entertainment System,3807,19773,,
CAT-23935,Tekichuu Keiba Juku;的中競馬塾,Nintendo Super Famicom,57552,37791,,
CAT-01828,Wario's Woods,Nintendo Super Nintendo Entertainment System,2582,190013,,
CAT-42763,Theme Park,Nintendo Super Nintendo Entertainment System,6562,23091,,
CAT-42769,Mortal Kombat 3,Nintendo Super Nintendo Entertainment System,1434,284101,,
CAT-37963,Inindo Way of the Ninja,Nintendo Super Nintendo Entertainment System,4729,47498,,
CAT-26959,Cliffhanger,Nintendo Super Nintendo Entertainment System,4616,346267,,
CAT-60556,Super Birdie Rush;スーパーバーディラッシュ,Nintendo Super Famicom,40040,37843,,
CAT-34388,Plok!;プロック,Nintendo Super Famicom,4182,28389,,
CAT-23880,Super Famicom Wars;スーパーファミコンウォーズ,Nintendo Super Famicom,9288,38320,,
CAT-21803,Joushou Mahjong Tenpai;常勝麻雀 天牌,Nintendo Super Famicom,28208,42423,,
CAT-21818,Gekisou Sentai Carranger Zenkai! Racer Senshi;激走戦隊カーレンジャー 全開!レーサー戦士,Nintendo Super Famicom,42210,3285,,
CAT-26592,Urban Strike The Sequel to Jungle Strike,Nintendo Super Nintendo Entertainment System,9336,4492,,
CAT-60493,Theme Park;テーマパーク,Nintendo Super Famicom,6562,23091,,
CAT-09305,Super Puyo Puyo;す〜ぱ〜ぷよぷよ,Nintendo Super Famicom,,42406,,
CAT-21667,Rise Of The Robots;ライズ オブ ザ ロボッツ,Nintendo Super Famicom,9847,4259,,
CAT-01803,Lucky Luke,Nintendo Super Nintendo Entertainment System,52893,265060,,
CAT-19744,Actraiser,Nintendo Super Nintendo Entertainment System,7274,23597,,
CAT-34716,WWF WrestleMania The Arcade Game;レッスルマニア・ジ・アーケードゲーム,Nintendo Super Famicom,8027,4546,,
CAT-26603,Disney's The Lion King,Nintendo Super Nintendo Entertainment System,9186,198801,,
CAT-34625,Pac-In-Time;パックインタイム,Nintendo Super Famicom,11100,18380,,
CAT-35553,Disney's Beauty and The Beast;美女と野獣,Nintendo Super Famicom,30534,280811,,
CAT-19887,Lucky Luke,Nintendo Super Nintendo Entertainment System,52893,265060,,
CAT-26967,Star Trek Starfleet Academy Starship Bridge Simulator,Nintendo Super Nintendo Entertainment System,19745,45878,,
